,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Detroit Pistons*,82,241.8,38.3,85.6,0.447,1.9,6.8,0.285,36.4,78.9,0.461,22.3,28.4,0.785,13.8,26.7,40.5,22.6,7.9,4.2,14.9,25.5,100.8,28.7,63.0,19.0,5.8,0.44,6.24,110.8,104.7,6.1,95.5,0.346,0.058,0.551,1989
1,Cleveland Cavaliers*,82,240.9,41.3,89.6,0.461,2.1,6.2,0.339,39.2,83.4,0.47,16.6,21.3,0.777,14.8,27.8,42.6,24.9,8.4,4.4,17.4,24.0,101.2,26.1,57.0,25.0,7.6,0.35,7.95,110.6,102.9,7.7,98.0,0.353,0.069,0.559,1989
2,Los Angeles Lakers*,82,241.5,43.2,92.0,0.47,2.4,7.2,0.33,40.8,84.8,0.481,18.8,25.0,0.752,14.4,27.1,41.5,26.3,9.2,5.3,15.4,23.7,107.5,29.5,57.0,25.0,7.17,-0.79,6.38,113.8,106.7,7.1,100.1,0.351,0.093,0.57,1989
3,Phoenix Suns*,82,240.9,43.8,94.3,0.464,2.2,6.9,0.319,41.6,87.4,0.475,21.2,28.1,0.753,15.3,30.0,45.2,26.4,7.6,5.2,16.7,25.1,110.9,25.7,55.0,27.0,7.7,-0.86,6.84,113.1,105.7,7.4,104.5,0.344,0.064,0.56,1989
4,Atlanta Hawks*,82,241.5,41.0,86.9,0.472,1.8,6.2,0.288,39.2,80.6,0.486,22.3,28.4,0.784,15.4,28.4,43.7,24.8,8.4,4.2,18.1,25.7,106.1,28.5,52.0,30.0,4.91,0.35,5.26,112.2,107.2,5.0,98.3,0.375,0.055,0.54,1989
5,New York Knicks*,82,241.5,44.3,89.7,0.494,1.9,6.5,0.285,42.5,83.2,0.511,22.4,29.1,0.767,14.8,28.4,43.2,28.0,9.5,5.3,20.6,23.1,112.9,25.3,52.0,30.0,3.77,-0.15,3.62,111.1,107.5,3.6,104.4,0.311,0.151,0.553,1989
6,Utah Jazz*,82,240.6,38.0,87.4,0.434,2.3,7.4,0.305,35.7,80.0,0.446,21.5,28.6,0.754,14.9,27.2,42.1,22.1,9.5,6.2,16.2,25.4,99.7,27.4,51.0,31.0,5.02,-1.01,4.01,106.6,101.5,5.1,98.0,0.416,0.058,0.55,1989
7,Milwaukee Bucks*,82,240.9,40.3,84.2,0.478,2.4,6.5,0.368,37.9,77.7,0.488,22.4,28.9,0.776,13.3,28.5,41.8,25.7,8.6,5.2,18.6,23.6,105.3,28.5,49.0,33.0,3.61,0.5,4.11,110.1,106.4,3.7,98.6,0.332,0.079,0.544,1989
8,Chicago Bulls*,82,241.2,41.0,86.6,0.474,2.4,7.2,0.327,38.6,79.4,0.487,20.6,26.7,0.773,13.1,28.0,41.2,25.6,8.4,4.2,15.3,21.7,105.0,26.4,47.0,35.0,1.44,0.69,2.13,109.1,107.7,1.4,97.0,0.302,0.076,0.553,1989
9,Seattle SuperSonics*,82,241.2,41.9,86.2,0.486,2.1,6.6,0.311,39.9,79.6,0.501,23.4,30.4,0.769,14.5,27.5,42.0,23.9,8.2,5.0,18.9,22.9,109.2,26.3,47.0,35.0,2.9,-0.46,2.44,111.5,108.6,2.9,100.1,0.318,0.104,0.539,1989
